model,year,price,transmission,mileage,fuelType,mpg,engineSize,brand,carId
Mokka X,2018,14995,Automatic,17879,Petrol,43.5,1.4,vauxhall,30461634
Insignia,2019,11149,Manual,63235,Diesel,61.4,1.6,vauxhall,30451757
Mokka,2021,20995,Manual,19762,Petrol,50.4,1.2,vauxhall,30361827
Grandland X,2019,16495,Manual,21814,Petrol,44.1,1.2,vauxhall,30383318
Astra,2018,14394,Automatic,24263,Diesel,65.7,1.6,vauxhall,30503310
Up,2013,7795,Manual,24819,Petrol,60.1,1.0,volkswagen,30495765
Crossland,2021,17995,Manual,24978,Petrol,48.7,1.2,vauxhall,30478045
Corsa,2019,9995,Manual,28470,Petrol,43.5,1.4,vauxhall,30564006
Zafira Tourer,2014,8995,Manual,29014,Petrol,39.2,1.8,vauxhall,30495766
Astra,2019,14995,Automatic,33218,Petrol,48.7,1.4,vauxhall,30361824
Combo Life,2019,14995,Manual,42498,Petrol,42.2,1.2,vauxhall,30422733
Mokka X,2017,10799,Manual,38292,Petrol,47.1,1.4,vauxhall,30572303
Astra,2019,12995,Automatic,44809,Petrol,51.4,1.4,vauxhall,30422731
Combo Life,2019,14495,Manual,48686,Diesel,50.4,1.5,vauxhall,30301240
Aygo,2020,9995,Automatic,78410,Petrol,56.5,1.0,toyota,30564011
Hatch,2014,6495,Manual,94212,Petrol,62.8,1.5,mini,30503312
Corsa,2023,19559,Manual,10,Petrol,54.3,1.2,vauxhall,30500017
Astra,2022,27599,Manual,10,Petrol,51.4,1.2,vauxhall,30532283
Corsa,2022,28319,Automatic,10,Electric,0.0,0.0,vauxhall,30461635
Corsa,2022,29039,Automatic,10,Electric,0.0,0.0,vauxhall,30453019
Corsa,2023,32279,Automatic,10,Electric,0.0,0.0,vauxhall,30478042
Corsa,2023,32519,Automatic,10,Electric,0.0,0.0,vauxhall,30478044
Leon,2019,15899,Semi-Auto,49117,Petrol,47.1,1.5,seat,30367139
Ateca,2017,14049,Manual,45418,Diesel,64.2,1.6,seat,30514510
Corsa,2023,33959,Automatic,10,Electric,0.0,0.0,vauxhall,30478043
Mokka,2023,35159,Automatic,10,Electric,0.0,0.0,vauxhall,30478041
Crossland X,2020,12995,Manual,21052,Petrol,47.1,1.2,vauxhall,30234376
Combo Life,2019,14495,Manual,21816,Petrol,42.2,1.2,vauxhall,30402407
Insignia,2016,11995,Automatic,25671,Diesel,50.4,2.0,vauxhall,30578385
Grandland X,2018,16995,Automatic,27157,Petrol,43.5,1.2,vauxhall,30578386
Forfour,2015,6495,Manual,38202,Petrol,67.3,1.0,smart,30578387
Corsa,2019,9995,Manual,43492,Petrol,43.5,1.4,vauxhall,30578388
T-Cross,2021,18495,Automatic,12610,Petrol,44.1,1.0,volkswagen,29860212
Leon,2019,16549,Manual,22388,Petrol,49.6,1.5,seat,30490165
Grandland X,2019,18995,Manual,27344,Petrol,44.1,1.2,vauxhall,30309327
Corsa,2020,13495,Manual,42064,Petrol,52.3,1.2,vauxhall,30156613
Insignia,2017,11250,Manual,54442,Petrol,47.1,1.5,vauxhall,30065461
Crossland X,2020,11995,Automatic,56259,Petrol,44.1,1.2,vauxhall,30301232
Leaf,2017,6495,Automatic,62388,Electric,0.0,0.0,nissan,30033268
Corsa,2017,5500,Manual,94277,Petrol,55.4,1.4,vauxhall,30257400
Corsa,2022,16995,Automatic,758,Electric,0.0,0.0,vauxhall,30594435
Picanto,2019,9495,Manual,7644,Petrol,56.5,1.0,kia,30594434
Corsa,2019,10995,Manual,16437,Petrol,43.5,1.4,vauxhall,30478040
Corsa,2017,8500,Manual,61719,Petrol,54.3,1.4,vauxhall,30594433
E-PACE,2018,22349,Automatic,34921,Diesel,50.4,2.0,jaguar,30424972
Santa Fe,2014,11000,Manual,78657,Diesel,46.3,2.2,hyundai,30594436
1 Series,2012,6750,Manual,61960,Diesel,62.8,2.0,bmw,30528987
Tiguan,2013,8795,Manual,76809,Diesel,48.7,2.0,volkswagen,30528986
Note,2014,7250,Manual,49797,Petrol,65.7,1.2,nissan,30322666
Q3,2012,11750,Automatic,61548,Diesel,47.9,2.0,audi,30388302
Kadjar,2016,8999,Manual,70599,Diesel,72.4,1.5,renault,30570107
A3,2012,6295,Manual,71685,Petrol,41.5,1.8,audi,30182566
Tivoli,2023,23500,Automatic,1000,Petrol,37.2,1.5,ssangyong,30313707
Korando,2023,28995,Automatic,1000,Petrol,35.3,1.5,ssangyong,30339466
Rexton,2023,42500,Automatic,1000,Diesel,32.5,2.2,ssangyong,30313708
A4,2017,15049,Manual,58097,Diesel,68.9,2.0,audi,30460878
Rexton,2023,39995,Automatic,6000,Diesel,32.5,2.2,ssangyong,30457310
Korando,2022,25000,Automatic,10000,Petrol,35.3,1.5,ssangyong,30356345
Tivoli,2020,15750,Automatic,23400,Petrol,36.7,1.5,ssangyong,30228810
Korando,2015,7995,Manual,74000,Diesel,45.6,2.0,ssangyong,29751029
Korando,2014,5995,Manual,84000,Diesel,45.6,2.0,ssangyong,30362650
Tourneo Courier,2019,14995,Manual,32000,Petrol,40.9,1.0,ford,30588894
XV,2023,32500,Semi-Auto,2000,Hybrid,43.5,2.0,subaru,30379747
Outback,2023,39900,Semi-Auto,2000,Petrol,33.2,2.5,subaru,30379748
Forester,2023,35500,Semi-Auto,3000,Hybrid,34.9,2.0,subaru,30011301
Arona,2019,14199,Manual,49625,Petrol,50.4,1.5,seat,30337832
A3,2019,17999,Semi-Auto,46928,Diesel,52.3,1.6,audi,30448069
D-Max,2023,63000,Automatic,4000,Diesel,30.7,1.9,isuzu,30508012
Forester,2021,29500,Semi-Auto,12875,Hybrid,34.9,2.0,subaru,30016220
Outlander,2019,23500,Automatic,14641,Hybrid,141.3,2.4,mitsubishi,30407881
D-Max,2021,40800,Automatic,16782,Diesel,30.7,1.9,isuzu,29913515
Outlander,2019,21000,Semi-Auto,17450,Petrol,32.5,2.0,mitsubishi,30251802
Shogun,2017,26400,Automatic,20950,Diesel,31.4,3.2,mitsubishi,29895491
Outback,2020,26500,Semi-Auto,23130,Petrol,33.2,2.5,subaru,30483733
Mirage,2018,8500,Manual,29113,Petrol,65.7,1.2,mitsubishi,30483734
ASX,2020,16500,Manual,31267,Petrol,37.7,2.0,mitsubishi,30213464
Leon,2020,16949,Semi-Auto,23352,Diesel,54.3,2.0,seat,30480198
RAV4,2017,16649,Manual,60975,Diesel,60.1,2.0,toyota,30587862
D-Max,2020,30000,Manual,33238,Diesel,40.4,1.9,isuzu,30119205
D-Max,2019,22800,Manual,36424,Diesel,40.4,1.9,isuzu,30162171
Shogun,2019,26500,Automatic,37588,Diesel,31.4,2.4,mitsubishi,30503592
Shogun,2018,26000,Automatic,38754,Diesel,31.4,2.4,mitsubishi,30401580
Forester,2021,26000,Semi-Auto,40000,Hybrid,34.9,2.0,subaru,29895474
D-Max,2018,25800,Manual,44756,Diesel,40.4,1.9,isuzu,30485196
Outlander,2019,19000,Automatic,46648,Hybrid,156.9,2.4,mitsubishi,30422088
XV,2019,18500,Semi-Auto,47082,Petrol,40.9,2.0,subaru,30262784
XV,2017,16000,Semi-Auto,48577,Petrol,40.9,2.0,subaru,30213458
D-Max,2017,29400,Automatic,53585,Diesel,33.6,2.5,isuzu,30429454
TT,2016,12899,Manual,66853,Diesel,62.8,2.0,audi,30225417
Outback,2015,15500,Semi-Auto,54731,Diesel,46.3,2.0,subaru,30461132
Shogun,2019,23500,Automatic,58155,Diesel,31.4,2.4,mitsubishi,30407879
Forester,2018,18500,Semi-Auto,65552,Petrol,43.5,2.0,subaru,30389513
ASX,2020,18000,Manual,14450,Petrol,37.7,2.0,mitsubishi,30429458
XV,2019,19000,Semi-Auto,21314,Petrol,44.1,1.6,subaru,30594069
D-Max,2017,22500,Manual,30831,Diesel,40.4,1.9,isuzu,30422090
Q3,2018,22450,Automatic,10000,Petrol,47.9,1.4,audi,30435544
C Class,2021,28495,Automatic,18000,Diesel,55.4,1.9,mercedes-benz,30535522
1 Series,2013,12995,Automatic,22000,Petrol,48.7,1.6,bmw,30388327
108,2017,7965,Manual,25000,Petrol,65.7,1.2,peugeot,30435543
C1,2015,7395,Manual,27000,Petrol,74.3,1.0,citroen,30420598
5008,2018,23995,Automatic,34000,Petrol,48.7,1.6,peugeot,30576366
F-TYPE,2016,32495,Automatic,34000,Petrol,32.9,3.0,jaguar,30535524
GLC Class,2015,24495,Automatic,38000,Diesel,56.5,2.1,mercedes-benz,30406202
XK,2014,29995,Automatic,42000,Petrol,25.2,5.0,jaguar,30535519
X1,2013,13495,Automatic,43500,Diesel,52.3,2.0,bmw,30235364
Qashqai,2016,13795,Manual,44000,Petrol,47.1,1.6,nissan,30329275
Hatch,2017,14495,Automatic,44000,Petrol,54.3,2.0,mini,28646176
A5,2018,22699,Semi-Auto,33931,Diesel,57.7,2.0,audi,30308229
4 Series,2018,24795,Automatic,46000,Petrol,41.5,3.0,bmw,29403708
Scirocco,2017,14995,Manual,47000,Diesel,55.4,2.0,volkswagen,30342538
Clubman,2016,12985,Manual,48000,Diesel,68.9,2.0,mini,30258030
5 Series,2018,26395,Automatic,49000,Diesel,55.4,2.0,bmw,29820404
Golf,2019,16195,Automatic,50000,Petrol,44.8,1.0,volkswagen,30020757
Qashqai,2013,9995,Manual,51000,Diesel,55.4,1.6,nissan,30535516
Discovery,2013,20995,Automatic,54000,Diesel,32.1,3.0,land rover,30556080
Vantage,2013,61995,Automatic,55000,Petrol,19.2,5.9,aston martin,29204725
A Class,2016,15495,Manual,56500,Petrol,49.6,1.6,mercedes-benz,30535523
XJ,2017,21849,Automatic,31606,Diesel,49.6,3.0,jaguar,30295023
Tucson,2019,20049,Semi-Auto,52828,Diesel,46.3,1.6,hyundai,30438213
3 Series,2019,24350,Automatic,58000,Diesel,53.3,3.0,bmw,30166640
SL Class,2010,16495,Automatic,66500,Petrol,29.1,3.5,mercedes-benz,30160542
3 Series,2015,15495,Manual,67000,Diesel,57.6,2.0,bmw,30543917
Range Rover Sport,2015,26985,Automatic,80000,Diesel,40.4,3.0,land rover,29581719
3 Series,2013,18295,Automatic,82000,Petrol,37.2,3.0,bmw,29178213
S Class,2015,19450,Automatic,83000,Diesel,50.4,0.0,mercedes-benz,30535518
3 Series,2016,15295,Manual,65000,Diesel,61.4,2.0,bmw,30535517
Defender,2012,37495,Manual,65000,Diesel,25.5,2.2,land rover,30238878
Captur,2019,12049,Manual,22833,Petrol,52.3,0.9,renault,30384475
E Class,2014,11495,Automatic,86000,Diesel,54.3,2.1,mercedes-benz,28435722
i30,2022,33595,Semi-Auto,4623,Petrol,33.6,2.0,hyundai,30553961
Micra,2021,13995,Manual,11210,Petrol,47.9,1.0,nissan,30565176
i10,2021,13895,Manual,11796,Petrol,53.3,1.0,hyundai,30427145
Sandero Stepway,2020,11495,Manual,12386,Petrol,45.6,0.9,dacia,30482616
Tucson,2019,16995,Manual,17446,Petrol,34.9,1.6,hyundai,30510337
Tucson,2019,19695,Semi-Auto,17669,Diesel,47.1,1.6,hyundai,30516832
Puma,2020,20295,Semi-Auto,21212,Petrol,46.3,1.0,ford,30553960
Ignis,2022,14495,Manual,22125,Hybrid,56.5,1.2,suzuki,30482615
Tucson,2019,16495,Manual,24755,Petrol,34.9,1.6,hyundai,30522418
Tucson,2019,15499,Manual,28719,Petrol,35.3,1.6,hyundai,30438156
Tucson,2019,16149,Manual,27782,Petrol,34.9,1.6,hyundai,30548482
CX-5,2021,23595,Automatic,29536,Diesel,43.5,2.2,mazda,30462816
Golf,2019,21199,Semi-Auto,25442,Diesel,52.3,2.0,volkswagen,29969225
Tucson,2019,15795,Manual,34189,Petrol,34.9,1.6,hyundai,30579416
Mokka X,2018,12749,Semi-Auto,39650,Petrol,37.2,1.4,vauxhall,30487474
Tucson,2017,14995,Semi-Auto,42460,Diesel,57.6,1.7,hyundai,30522416
Arona,2018,12699,Manual,32468,Petrol,49.6,1.0,seat,30312191
Jimny,2023,29999,Manual,10,Petrol,36.7,1.5,suzuki,30498371
Mokka X,2016,9549,Manual,32684,Diesel,68.9,1.6,vauxhall,30095341
Vitara,2000,15999,Automatic,19893,Petrol,40.4,1.0,suzuki,30291499
Vitara,2000,16999,Manual,26040,Petrol,43.5,1.4,suzuki,30468597
Celerio,2016,5429,Manual,57630,Petrol,65.7,1.0,suzuki,27123953
Baleno,2018,8499,Manual,36295,Petrol,52.3,1.2,suzuki,30380113
Picanto,2000,12999,Manual,10032,Petrol,52.3,1.0,kia,30589048
A Class,2020,18549,Semi-Auto,38009,Diesel,68.9,1.5,mercedes-benz,30308230
HRV,2022,26750,Automatic,5861,Hybrid,52.3,1.5,honda,30479344
Jazz,2022,24500,Automatic,7443,Hybrid,58.9,1.5,honda,30574640
Jazz,2022,18995,Automatic,9752,Hybrid,62.8,1.5,honda,29447617
Jazz,2021,24000,Automatic,10005,Hybrid,58.9,1.5,honda,30340589
Civic,2021,17995,Manual,10632,Petrol,46.3,1.0,honda,30559560
CRV,2022,33250,Automatic,12571,Hybrid,39.8,2.0,honda,30303049
Civic,2018,20950,Automatic,17496,Petrol,47.1,1.5,honda,30479342
Jazz,2021,19550,Automatic,18343,Hybrid,62.8,1.5,honda,29966844
HRV,2019,18995,Automatic,20313,Petrol,41.5,1.5,honda,30391480
3 Series,2019,24499,Semi-Auto,24345,Diesel,52.3,2.0,bmw,30557473
500,2020,14699,Semi-Auto,3308,Petrol,46.3,1.2,fiat,30417237
Qashqai,2018,17349,Manual,32168,Petrol,39.8,1.3,nissan,30360529
595,2018,12049,Manual,21683,Petrol,39.2,1.4,abarth,30476820
Polo,2019,16999,Semi-Auto,14944,Petrol,45.6,1.0,volkswagen,30572025
Mazda2,2019,14299,Automatic,8646,Petrol,47.9,1.5,mazda,29950376
Corolla,2020,19299,Automatic,8660,Hybrid,62.8,1.8,toyota,30456326
Kuga,2018,11449,Manual,69686,Petrol,45.6,1.5,ford,30557553
Fiesta,2020,14049,Manual,26062,Petrol,53.3,1.0,ford,30557599
Octavia,2020,17099,Manual,40315,Diesel,54.3,1.6,skoda,30490024
GLC Class,2016,23299,Semi-Auto,50276,Diesel,56.5,2.1,mercedes-benz,30281091
Golf,2019,17999,Semi-Auto,41634,Petrol,44.1,1.5,volkswagen,30308283
C3,2019,12749,Manual,10247,Petrol,51.4,1.2,citroen,30367118
T-Cross,2020,19349,Manual,10317,Petrol,47.9,1.0,volkswagen,30484643
Polo,2018,14049,Manual,10435,Petrol,64.2,1.0,volkswagen,30392938
Sportage,2019,20549,Manual,24331,Diesel,46.3,1.6,kia,30551712
Jazz,2019,12949,Manual,21513,Petrol,48.7,1.3,honda,30557571
Clio,2016,9049,Manual,20313,Petrol,61.4,0.9,renault,30577513
Aygo,2018,8849,Manual,10449,Petrol,69.0,1.0,toyota,30384626
C3,2017,9399,Manual,51389,Petrol,60.1,1.2,citroen,30582260
MG3,2021,10699,Manual,14950,Petrol,42.8,1.5,mg,30188165
2008,2019,14149,Manual,12191,Petrol,51.4,1.2,peugeot,30251041
Hatch,2019,15399,Manual,43773,Petrol,48.7,1.5,mini,30485034
CLA Class,2019,19699,Manual,36395,Petrol,42.8,1.6,mercedes-benz,30284887
Crossland X,2019,12299,Manual,21356,Petrol,44.8,1.2,vauxhall,30498468
Scirocco,2016,15949,Semi-Auto,36087,Petrol,44.1,2.0,volkswagen,30546331
Sportage,2018,17049,Manual,35084,Petrol,34.9,1.6,kia,30587917
Polo,2019,11999,Manual,57124,Petrol,52.3,1.0,volkswagen,30354620
Micra,2018,10549,Manual,35169,Petrol,51.4,0.9,nissan,30577469
Arteon,2019,20699,Semi-Auto,39015,Petrol,40.4,1.5,volkswagen,30401202
Viva,2015,7599,Manual,13900,Petrol,62.8,1.0,vauxhall,30337887
Fiesta,2019,12649,Manual,22623,Petrol,58.9,1.0,ford,30325198
Citigo,2017,8249,Manual,31461,Petrol,68.9,1.0,skoda,30260937
Ateca,2018,15799,Manual,31942,Petrol,45.6,1.0,seat,30392886
CX-30,2021,18299,Manual,15623,Petrol,47.9,2.0,mazda,30407597
Fabia,2017,9349,Manual,53013,Petrol,64.2,1.0,skoda,30281447
C Class,2016,18299,Semi-Auto,35533,Diesel,67.3,2.1,mercedes-benz,30308072
Aygo,2016,9599,Manual,13397,Petrol,69.0,1.0,toyota,30572041
Juke,2018,11049,Manual,37767,Petrol,49.6,1.2,nissan,30514597
Sportage,2018,21049,Automatic,29863,Diesel,44.8,1.6,kia,30272270
Mokka X,2018,10049,Manual,57451,Petrol,39.2,1.4,vauxhall,30161904
Touareg,2018,24899,Semi-Auto,52340,Diesel,42.8,3.0,volkswagen,30354553
A6,2016,15799,Semi-Auto,56099,Diesel,61.4,2.0,audi,30201083
A Class,2015,14499,Automatic,58899,Diesel,68.9,2.1,mercedes-benz,30557112
ASX,2019,13299,Manual,28946,Petrol,41.5,1.6,mitsubishi,30417346
Tiguan Allspace,2020,28549,Semi-Auto,30359,Petrol,35.8,1.5,volkswagen,30519513
Puma,2021,18899,Manual,16981,Petrol,51.4,1.0,ford,30417232
Corsa,2020,12599,Manual,17031,Petrol,53.3,1.2,vauxhall,30476771
595,2018,12599,Manual,17034,Petrol,47.1,1.4,abarth,30557554
Aygo,2018,9449,Manual,17040,Petrol,56.5,1.0,toyota,30392876
Insignia,2019,10799,Manual,57525,Diesel,64.2,1.6,vauxhall,30307994
Kuga,2018,22049,Semi-Auto,23592,Diesel,42.2,2.0,ford,30531323
Polo,2018,14299,Manual,18271,Petrol,52.3,1.0,volkswagen,30587977
A3,2020,24699,Semi-Auto,17347,Petrol,47.9,1.5,audi,30367131
Ignis,2017,11599,Semi-Auto,42540,Petrol,61.4,1.2,suzuki,30373249
Kadjar,2020,14549,Manual,63189,Petrol,42.16,1.3,renault,30476939
Juke,2018,12249,Manual,29305,Diesel,70.6,1.5,nissan,30519602
XE,2018,18699,Automatic,40139,Petrol,34.0,2.0,jaguar,30407602
Tucson,2018,13849,Manual,58346,Petrol,34.9,1.6,hyundai,30519595
Up,2017,10349,Manual,17932,Petrol,64.2,1.0,volkswagen,30384547
500X,2016,10549,Semi-Auto,40875,Diesel,51.4,2.0,fiat,30272348
Mokka X,2017,11549,Manual,29793,Petrol,47.1,1.4,vauxhall,30577419
Ibiza,2021,15549,Manual,18209,Petrol,51.4,1.0,seat,30514551
T-Roc,2020,21449,Manual,18227,Petrol,44.8,1.5,volkswagen,30290022
Focus,2020,17199,Manual,18238,Diesel,74.3,1.5,ford,30299814
C3,2017,10699,Manual,18281,Petrol,60.1,1.2,citroen,30460780
Mokka X,2019,15449,Semi-Auto,18287,Diesel,47.1,1.6,vauxhall,30308298
T-Roc,2020,18099,Manual,18290,Petrol,44.8,1.0,volkswagen,30477034
Mokka X,2018,14749,Semi-Auto,27708,Petrol,43.5,1.4,vauxhall,30502728
MG3,2019,10049,Manual,27485,Petrol,47.1,1.5,mg,30531277
Up,2016,8449,Manual,41071,Petrol,64.2,1.0,volkswagen,30424959
500,2019,9049,Manual,45600,Petrol,48.7,1.2,fiat,30417285
A Class,2020,18099,Manual,18946,Petrol,28.5,1.3,mercedes-benz,30373326
Range Rover Evoque,2019,26499,Automatic,34565,Diesel,42.2,2.0,land rover,30476960
Insignia,2018,13399,Manual,18975,Diesel,61.4,1.6,vauxhall,30308306
Leon,2019,15449,Manual,46265,Petrol,52.3,1.5,seat,30417366
Ateca,2017,16049,Manual,38295,Petrol,52.3,1.4,seat,30582266
108,2019,9399,Manual,17832,Petrol,68.9,1.0,peugeot,30490151
Focus,2018,14699,Manual,17839,Petrol,58.9,1.0,ford,30477047
E-PACE,2018,33399,Automatic,17874,Petrol,35.3,2.0,jaguar,30477097
Ibiza,2021,16699,Manual,17930,Petrol,52.3,1.0,seat,30551768
108,2020,9449,Manual,17931,Petrol,68.9,1.0,peugeot,30389294
Qashqai,2019,15249,Manual,30482,Petrol,41.5,1.3,nissan,30290000
Mondeo,2017,15349,Semi-Auto,54111,Diesel,67.3,2.0,ford,30424938
Scirocco,2012,6995,Manual,83037,Petrol,42.8,1.4,volkswagen,30564231
A1,2015,8495,Manual,85731,Diesel,80.7,1.6,audi,30558552
Astra,2010,3995,Manual,90353,Petrol,44.8,1.6,vauxhall,30129393
X Trail,2017,10750,Manual,93892,Diesel,57.6,1.6,nissan,30481749
Range Rover Evoque,2012,12750,Automatic,94502,Diesel,43.5,2.2,land rover,29957424
C Class,2009,4995,Automatic,98144,Diesel,42.2,2.1,mercedes-benz,30525089
A3,2018,11950,Automatic,98461,Petrol,56.5,1.5,audi,30252312
Grand C-MAX,2011,4795,Manual,99966,Diesel,53.3,2.0,ford,30481750
Range Rover,2016,29750,Automatic,102658,Diesel,33.6,4.4,land rover,30344552
Kuga,2019,18099,Manual,21311,Petrol,39.2,1.5,ford,30477016
CLA Class,2015,11250,Automatic,110915,Diesel,62.8,2.1,mercedes-benz,30313682
i40,2017,5795,Automatic,150442,Diesel,60.1,1.7,hyundai,30583576
i30,2011,3250,Manual,97445,Petrol,46.3,1.4,hyundai,29905274
CX-30,2022,22695,Manual,12209,Petrol,49.6,2.0,mazda,30505772
Fabia,2021,14895,Manual,13712,Petrol,51.4,1.0,skoda,30505774
Karoq,2020,21498,Manual,18606,Petrol,42.8,1.5,skoda,30448369
Scala,2021,24998,Semi-Auto,18671,Petrol,42.8,1.0,skoda,30373468
Kamiq,2021,19495,Manual,20383,Petrol,48.7,1.5,skoda,30518368
Superb,2022,25995,Manual,20389,Diesel,57.7,2.0,skoda,30408350
Octavia,2022,22799,Manual,23357,Petrol,50.4,1.5,skoda,30454873
Octavia,2022,18599,Manual,23638,Petrol,52.3,1.5,skoda,30429541
Fabia,2022,14349,Manual,24518,Petrol,55.4,1.0,skoda,30346738
Karoq,2018,15795,Manual,27098,Diesel,62.8,1.6,skoda,30490330
Tiguan,2020,22049,Manual,15458,Petrol,38.2,1.5,volkswagen,30392909
Octavia,2020,19299,Manual,35303,Petrol,49.6,1.5,skoda,30477903
C1,2018,8295,Manual,46327,Petrol,68.9,1.0,citroen,30490327
Yeti,2016,12695,Semi-Auto,47070,Petrol,51.4,1.2,skoda,30490329
Kodiaq,2018,18495,Automatic,50764,Petrol,44.8,1.4,skoda,30485484
Sandero,2015,5495,Manual,58882,Petrol,48.7,1.1,dacia,29811974
C4,2014,5995,Manual,60742,Diesel,67.3,1.6,citroen,30350094
V40,2013,6995,Manual,66680,Diesel,78.5,1.6,volvo,30444965
Mazda3,2012,4995,Manual,71520,Petrol,43.5,1.6,mazda,30495919
Rio,2012,6495,Automatic,71635,Petrol,44.1,1.4,kia,30547616
Focus,2013,5995,Manual,71684,Diesel,67.3,1.6,ford,30547615
Mondeo,2016,13799,Semi-Auto,47761,Diesel,57.7,2.0,ford,30417233
Leon,2013,8995,Automatic,76532,Diesel,60.1,1.6,seat,29709174
Leon,2019,12249,Manual,43128,Diesel,61.4,1.6,seat,30354506
Corsa,2019,7495,Manual,96687,Petrol,43.5,1.4,vauxhall,30430850
Carens,2016,7995,Manual,98360,Diesel,62.8,1.7,kia,30430848
Focus,2013,5495,Manual,92782,Diesel,67.3,1.6,ford,30569016
i30,2012,5995,Manual,87355,Diesel,74.3,1.6,hyundai,30569017
Fiesta,2014,6995,Manual,58720,Petrol,54.3,1.2,ford,29072308
T-Roc,2019,20949,Semi-Auto,24516,Petrol,39.8,1.5,volkswagen,30417140
Megane,2014,6500,Manual,71500,Diesel,80.7,1.5,renault,29927754
3 Series,2012,8995,Manual,73000,Petrol,42.8,2.0,bmw,29633694
Fiesta,2016,7500,Manual,74000,Petrol,62.8,1.0,ford,30472551
A3,2016,10995,Manual,80500,Diesel,74.3,1.6,audi,30368493
Golf,2013,7995,Manual,80700,Diesel,68.9,1.6,volkswagen,30534547
A1,2012,7995,Manual,81000,Diesel,74.3,1.6,audi,29306741
Touran,2011,7500,Automatic,83000,Diesel,55.4,1.6,volkswagen,30091388
B Class,2013,9500,Automatic,84000,Diesel,64.2,1.8,mercedes-benz,30100749
Venga,2013,6995,Automatic,86000,Petrol,43.5,1.6,kia,30408804
Touareg,2015,16999,Automatic,94100,Diesel,42.8,3.0,volkswagen,30179572
Golf,2016,13595,Manual,95000,Diesel,67.3,2.0,volkswagen,29607779
Countryman,2011,5995,Manual,96600,Petrol,47.1,1.6,mini,29772448
3 Series,2013,11995,Automatic,100100,Diesel,62.8,2.0,bmw,30091390
Qashqai,2013,5995,Manual,101000,Diesel,54.3,1.5,nissan,30564255
Kuga,2018,10995,Manual,101000,Diesel,64.2,1.5,ford,30521426
Range Rover Evoque,2012,13995,Automatic,101000,Diesel,43.5,2.2,land rover,30558592
A Class,2016,9995,Manual,112600,Diesel,72.4,1.5,mercedes-benz,30448994
A5,2012,7995,Manual,113800,Diesel,60.1,2.0,audi,30453235
XC60,2011,7500,Manual,140000,Diesel,50.4,2.4,volvo,29666590
Aygo,2019,10199,Manual,21498,Petrol,57.7,1.0,toyota,30360577
Clio,2017,9399,Manual,23519,Petrol,67.3,0.9,renault,30531438
C3,2018,8995,Manual,0,Petrol,60.1,1.2,citroen,30113912
IX35,2015,7995,Manual,84500,Diesel,51.4,2.0,hyundai,30588903
Fiesta,2013,5995,Manual,82000,Diesel,85.6,1.6,ford,30588904
3008,2012,5740,Manual,52619,Diesel,56.5,1.6,peugeot,30299135
CLK,2006,5740,Automatic,61950,Diesel,36.7,3.0,mercedes-benz,29357279
Insignia,2014,5490,Manual,96079,Diesel,65.7,2.0,vauxhall,30480015
Hatch,2013,6490,Manual,99253,Petrol,47.1,1.6,mini,30526258
3008,2019,17599,Manual,28384,Petrol,40.4,1.2,peugeot,30498452
Hatch,2016,5740,Manual,129403,Diesel,78.5,1.5,mini,30480019
107,2012,3990,Manual,52123,Petrol,65.7,1.0,peugeot,29920857
Corsa,2014,5490,Manual,55214,Petrol,51.4,1.2,vauxhall,29911446
Range Rover Velar,2018,35000,Automatic,58000,Diesel,52.3,2.0,land rover,30360367
A Class,2016,12990,Manual,0,Diesel,68.9,1.5,mercedes-benz,30148350
A Class,2016,13000,Automatic,0,Diesel,74.3,1.5,mercedes-benz,30148348
Mokka X,2019,12549,Manual,42729,Diesel,50.4,1.6,vauxhall,30389285
Hatch,2012,5495,Manual,70124,Petrol,52.3,1.6,mini,30112411
Note,2009,3495,Manual,71964,Petrol,47.9,1.4,nissan,30555503
500,2010,3695,Manual,79367,Petrol,58.9,1.2,fiat,30377057
Civic,2009,4195,Manual,80394,Petrol,47.9,1.3,honda,30498142
Boxster,2006,10995,Automatic,81810,Petrol,26.9,2.7,porsche,30506911
Juke,2014,6795,Manual,82484,Diesel,70.6,1.5,nissan,29800788
Karoq,2021,21199,Manual,24006,Petrol,45.6,1.5,skoda,30519521
C-MAX,2015,7950,Manual,28000,Petrol,42.8,1.6,ford,29898086
Passat,2017,14950,Manual,30000,Petrol,57.7,1.4,volkswagen,30468304
Captur,2015,8450,Manual,31000,Diesel,76.4,1.5,renault,30525167
Meriva,2017,8450,Manual,36000,Petrol,47.1,1.4,vauxhall,30208955
Corsa,2020,10950,Manual,37000,Petrol,53.3,1.2,vauxhall,29802589
Focus,2017,11450,Manual,38000,Diesel,74.3,1.5,ford,30156412
Arona,2020,13250,Manual,38000,Petrol,50.4,1.0,seat,30350079
Micra,2018,9950,Manual,39000,Petrol,64.2,0.9,nissan,30374955
Corsa,2014,5500,Manual,41000,Petrol,51.4,1.2,vauxhall,30318688
Astra,2016,8950,Manual,41000,Petrol,51.4,1.4,vauxhall,30468303
Fiesta,2018,9950,Manual,44000,Petrol,58.9,1.0,ford,30492221
Leon,2018,11500,Manual,45000,Petrol,64.2,1.0,seat,30430906
Golf,2018,17949,Semi-Auto,48809,Petrol,55.4,1.5,volkswagen,30514530
Fiesta,2015,6950,Manual,52000,Petrol,54.3,1.2,ford,30525164
